Contrato ID,Número Contrato,Status,Matrícula,Cancelamento,Curso ID,Fonte,Pessoa ID,Titular ID,Vendedor ID,Telemarketing ID
7243,7158,Não Aprovado,2020-07-24,,54,Teste - Backup F10 Cebrac,102740,102741.0,102660.0,102716.0
7244,7159,Cancelado,2020-07-29,2020-08-05,54,Teste - Backup F10 Cebrac,102742,,102660.0,102717.0
7245,7160,Cancelado,2020-07-24,2020-08-24,54,Unipro - Tele Pesquisa Wecsley Julho 2020,102743,102744.0,102661.0,102702.0
7246,7161,Cancelado,2020-07-24,2020-08-11,54,Unipro - Tele Pesquisa Wecsley Julho 2020,102745,,102661.0,102702.0
7247,7162,Concluído,2020-07-24,,52,Unipro - Tele Pesquisa Wecsley Julho 2020,102746,102747.0,102661.0,102716.0
7248,7163,Cancelado,2020-07-24,2020-08-05,54,Unipro - Tele Pesquisa Wecsley Julho 2020,102748,,102661.0,102720.0
7249,7164,Concluído,2020-07-24,,54,Unipro - Tele Pesquisa Wecsley Julho 2020,102749,102750.0,102661.0,102702.0
7250,7165,SPC,2020-07-23,,54,Teste - Backup F10 Cebrac,102751,102752.0,102718.0,104252.0
7251,7166,Concluído,2020-07-10,,52,Unipro - Tele Pesquisa Wecsley Julho 2020,102753,,102660.0,102878.0
7252,7167,Não Aprovado,2020-07-10,,54,Unipro - Tele Pesquisa Wecsley Julho 2020,102754,102755.0,102661.0,102717.0
7253,7168,Concluído,2020-07-10,,52,Unipro - Tele Pesquisa Wecsley Julho 2020,102756,,102660.0,104252.0
7254,7169,Pré Matrícula,2020-07-10,,52,Teste - Backup F10 Cebrac,102757,,102660.0,102716.0
7255,7170,Pré Matrícula,2020-07-10,,52,Teste - Backup F10 Cebrac,102758,102759.0,102663.0,102716.0
7256,7171,Pré Matrícula,2020-07-10,,52,Teste - Backup F10 Cebrac,102760,,102660.0,102716.0
7257,7172,Concluído,2020-07-31,,52,Unipro - Amigos Balcão Julho 2020,102762,,102666.0,102717.0
7258,7173,SPC,2020-07-25,,52,Indicação Secretaria - Backup F10 Cebrac,102764,,102666.0,102716.0
7259,7174,Aprovado,2020-07-10,,52,Unipro - Tele Pesquisa Wecsley Julho 2020,102765,,102660.0,102878.0
7260,7175,Concluído,2020-07-10,,52,Teste - Backup F10 Cebrac,102760,,102660.0,102717.0
7261,7176,Concluído,2020-07-22,,52,Unipro - Tele Pesquisa Wecsley Julho 2020,102766,,102664.0,102720.0
7262,7177,Cancelado,2020-07-10,2021-03-02,54,Teste - Backup F10 Cebrac,102767,,102661.0,102716.0
7263,7178,SPC,2020-07-20,,52,Unipro - Amigos Balcão Julho 2020,102769,102770.0,102666.0,102717.0
7264,7179,Concluído,2020-07-10,,54,Unipro - Amigos Balcão Julho 2020,102772,102773.0,102717.0,102717.0
7265,7180,Cancelado,2020-07-22,2020-08-25,52,Teste - Backup F10 Cebrac,102775,,102660.0,102717.0
7266,7181,Não Aprovado,2020-07-22,,53,Teste - Backup F10 Cebrac,102776,,102661.0,102668.0
7267,7182,Concluído,2020-07-10,,52,Teste - Backup F10 Cebrac,102777,,102661.0,102717.0
7268,7183,SPC,2020-07-10,,54,Teste - Backup F10 Cebrac,102778,102779.0,102660.0,102717.0
7269,7184,Cancelado,2020-07-22,2020-08-11,54,Unipro - Tele Pesquisa Wecsley Julho 2020,102780,,102661.0,102717.0
7270,7185,Cancelado,2020-07-22,2020-08-17,54,Teste - Backup F10 Cebrac,102781,,102660.0,102666.0
7271,7186,Cancelado,2020-07-10,2020-09-19,54,Teste - Backup F10 Cebrac,102782,,102660.0,102717.0
7272,7187,Pré Matrícula,2020-07-10,,52,Teste - Backup F10 Cebrac,102783,102784.0,102660.0,102717.0
7273,7188,Anulado,2020-07-10,,52,Unipro - Tele Pesquisa Wecsley Julho 2020,102785,,102661.0,102717.0
7274,7189,Cancelado,2020-07-10,2020-08-14,52,Teste - Backup F10 Cebrac,102786,,102660.0,102717.0
7275,7190,Cancelado,2020-07-22,2020-08-17,54,Teste - Backup F10 Cebrac,102787,102788.0,102661.0,102717.0
7276,7191,Cancelado,2020-07-27,2020-08-26,54,Unipro - Tele Pesquisa Wecsley Julho 2020,102789,102790.0,102661.0,102717.0
7277,7192,Cancelado,2020-07-10,2020-08-25,52,Teste - Backup F10 Cebrac,102677,,102661.0,102717.0
7278,7193,Cancelado,2020-07-10,2020-08-13,53,Unipro - Tele Pesquisa Geovana Agosto 2020,102791,102792.0,102661.0,102716.0
7279,7194,SPC,2020-07-11,,52,Unipro - Tele Pesquisa Wecsley Julho 2020,102794,,102717.0,102717.0
7280,7195,Cancelado,2020-07-11,2020-08-28,54,Unipro - Amigos Balcão Julho 2020,102793,,102666.0,102668.0
7281,7196,Pré Matrícula,2020-07-11,,54,Teste - Backup F10 Cebrac,102796,,102718.0,102718.0
7282,7197,Cancelado,2020-09-21,2020-12-30,53,Unipro - Tele Pesquisa Wecsley Julho 2020,102798,102800.0,102661.0,102716.0
7283,7198,Aprovado,2020-07-22,,52,Unipro - Tele Pesquisa Wecsley Julho 2020,102655,,102661.0,102716.0
7284,7199,SPC,2020-07-20,,52,Unipro - Tele Pesquisa Wecsley Julho 2020,102799,102802.0,102661.0,102717.0
7285,7200,Cancelado,2020-07-11,2020-11-24,52,Unipro - Tele Pesquisa Wecsley Julho 2020,102801,,102718.0,102718.0
7286,7201,Cancelado,2020-07-11,2020-09-15,52,Unipro - Tele Pesquisa Wecsley Julho 2020,102803,102804.0,102661.0,102717.0
7287,7202,SPC,2020-07-11,,52,Unipro - Amigos Balcão Julho 2020,102797,,102666.0,102878.0
7288,7203,SPC,2020-07-11,,52,Unipro - Amigos Balcão Julho 2020,102805,,102666.0,102878.0
7289,7204,Cancelado,2020-07-13,2020-11-16,54,Unipro - Tele Pesquisa Wecsley Julho 2020,102807,,102661.0,102717.0
7290,7205,Cancelado,2020-07-13,2020-10-31,52,Unipro - Tele Pesquisa Wecsley Julho 2020,102812,,102668.0,102878.0
7291,7206,Concluído,2020-07-13,,52,Unipro - Tele Pesquisa Wecsley Julho 2020,102814,,102661.0,102878.0
7292,7207,SPC,2020-07-13,,52,Unipro - Amigos Balcão Julho 2020,102824,,102668.0,102717.0
7293,7208,Concluído,2020-07-13,,54,Unipro - Amigos Balcão Julho 2020,102825,,102668.0,102668.0
7294,7209,SPC,2020-07-14,,54,Unipro - Amigos Balcão Julho 2020,102826,102829.0,102660.0,102717.0
7295,7210,Cancelado,2020-07-14,2023-07-25,54,Teste - Backup F10 Cebrac,102830,102832.0,102720.0,102720.0
7296,7211,Concluído,2020-07-14,,54,Teste - Backup F10 Cebrac,102834,,102720.0,102720.0
7297,7212,Não Aprovado,2020-07-14,,52,Teste - Backup F10 Cebrac,102838,,102817.0,102717.0
7298,7213,Aprovado,2020-07-14,,54,Indicação Secretaria - Backup F10 Cebrac,102839,,102720.0,102720.0
7299,7214,Aprovado,2020-07-14,,54,Indicação Secretaria - Backup F10 Cebrac,102840,,102720.0,102720.0
7300,7215,Concluído,2020-07-14,,54,Indicação Secretaria - Backup F10 Cebrac,102842,102843.0,102720.0,102720.0
7301,7216,Aprovado,2020-07-14,,54,Indicação Secretaria - Backup F10 Cebrac,102844,102846.0,102720.0,102720.0
7302,7217,Aprovado,2020-07-14,,54,Indicação Secretaria - Backup F10 Cebrac,102847,,102720.0,102720.0
7303,7218,Aprovado,2020-07-14,,54,Indicação Secretaria - Backup F10 Cebrac,102848,,102720.0,102720.0
7304,7219,Aprovado,2020-07-14,,54,Indicação Secretaria - Backup F10 Cebrac,102849,102850.0,102720.0,102720.0
7305,7220,Concluído,2020-07-14,,54,Indicação Secretaria - Backup F10 Cebrac,102851,102853.0,102720.0,102720.0
7306,7221,Pré Matrícula,2020-07-14,,54,Unipro - Amigos Balcão Julho 2020,102841,,102660.0,102717.0
7307,7222,Concluído,2020-07-14,,54,Indicação Secretaria - Backup F10 Cebrac,102856,102858.0,102720.0,102720.0
7308,7223,SPC,2020-07-30,,52,Unipro - Tele Pesquisa Wecsley Julho 2020,102859,,102718.0,102878.0
7309,7224,SPC,2020-07-14,,54,Indicação Secretaria - Backup F10 Cebrac,102860,102861.0,102720.0,102720.0
7310,7225,Aprovado,2020-07-14,,54,Indicação Secretaria - Backup F10 Cebrac,102869,102870.0,102720.0,102720.0
7311,7226,Aprovado,2020-07-14,,54,Indicação Secretaria - Backup F10 Cebrac,102872,102873.0,102720.0,102720.0
7312,7227,Aprovado,2020-07-14,,54,Indicação Secretaria - Backup F10 Cebrac,102875,102876.0,102720.0,102720.0
7313,7228,Aprovado,2020-07-14,,54,Unipro - Tele Pesquisa Wecsley Julho 2020,102874,102877.0,102817.0,102716.0
7314,7229,Aprovado,2020-07-15,,54,Indicação Secretaria - Backup F10 Cebrac,102880,102881.0,102720.0,102720.0
7315,7230,Não Aprovado,2020-07-15,,54,Indicação Secretaria - Backup F10 Cebrac,102882,,102720.0,102720.0
7316,7231,Aprovado,2020-07-15,,54,Indicação Secretaria - Backup F10 Cebrac,102883,,102720.0,102720.0
7317,7232,Não Aprovado,2020-07-15,,54,Indicação Secretaria - Backup F10 Cebrac,102884,102885.0,102720.0,102720.0
7318,7233,Concluído,2020-07-15,,54,Indicação Secretaria - Backup F10 Cebrac,102886,102887.0,102720.0,102720.0
7319,7234,Concluído,2020-07-15,,54,Indicação Secretaria - Backup F10 Cebrac,102888,,102720.0,102720.0
7320,7235,Cancelado,2020-07-15,2022-07-06,54,Indicação Secretaria - Backup F10 Cebrac,102889,,102720.0,102720.0
7321,7236,Concluído,2020-07-15,,54,Indicação Secretaria - Backup F10 Cebrac,102891,102893.0,102720.0,102720.0
7322,7237,Aprovado,2020-07-15,,54,Indicação Secretaria - Backup F10 Cebrac,102894,102895.0,102720.0,102720.0
7323,7238,Concluído,2020-07-15,,54,Indicação Secretaria - Backup F10 Cebrac,102896,,102720.0,102720.0
7324,7239,Aprovado,2020-07-15,,54,Indicação Secretaria - Backup F10 Cebrac,102897,102899.0,102720.0,102720.0
7325,7240,Pré Matrícula,2020-07-15,,54,Unipro - Amigos Balcão Julho 2020,102898,,102718.0,102717.0
7326,7241,SPC,2020-07-15,,54,Indicação Secretaria - Backup F10 Cebrac,102900,,102720.0,102720.0
7327,7242,SPC,2020-07-15,,54,Indicação Secretaria - Backup F10 Cebrac,102901,,102720.0,102720.0
7328,7243,SPC,2020-07-15,,54,Indicação Secretaria - Backup F10 Cebrac,102902,102903.0,102720.0,102720.0
7329,7244,SPC,2020-07-15,,54,Indicação Secretaria - Backup F10 Cebrac,102904,102905.0,102720.0,102720.0
7330,7245,SPC,2020-07-15,,54,Indicação Secretaria - Backup F10 Cebrac,102906,102907.0,102720.0,102720.0
7331,7246,SPC,2020-07-15,,54,Indicação Secretaria - Backup F10 Cebrac,102865,102908.0,102720.0,102720.0
7332,7247,SPC,2020-07-15,,54,Indicação Secretaria - Backup F10 Cebrac,102867,102909.0,102720.0,102720.0
7333,7248,Aprovado,2020-07-15,,54,Indicação Secretaria - Backup F10 Cebrac,102910,,102720.0,102720.0
7334,7249,Cancelado,2020-07-15,2023-09-19,54,Indicação Secretaria - Backup F10 Cebrac,102911,,102720.0,102720.0
7335,7250,Cancelado,2020-07-15,2020-10-09,52,Teste - Backup F10 Cebrac,102914,,102718.0,102668.0
7336,7251,SPC,2020-07-15,,54,Unipro - Tele Pesquisa Wecsley Julho 2020,102915,102916.0,102809.0,102716.0
7337,7252,SPC,2020-07-15,,54,Indicação Secretaria - Backup F10 Cebrac,102917,,102720.0,102720.0
7338,7253,Cancelado,2020-07-15,2020-08-04,54,Indicação Secretaria - Backup F10 Cebrac,102772,102773.0,102720.0,102720.0
7339,7254,Aprovado,2020-07-15,,54,Indicação Secretaria - Backup F10 Cebrac,102918,102919.0,102720.0,102720.0
7340,7255,SPC,2020-07-15,,54,Indicação Secretaria - Backup F10 Cebrac,102920,,102720.0,102720.0
7341,7256,Aprovado,2020-07-15,,54,Indicação Secretaria - Backup F10 Cebrac,102921,,102720.0,102720.0
7342,7257,SPC,2020-07-15,,54,Indicação Secretaria - Backup F10 Cebrac,102922,102923.0,102720.0,102720.0
7343,7258,Cancelado,2020-07-15,2021-02-15,54,Indicação Secretaria - Backup F10 Cebrac,102924,,102720.0,102720.0
7344,7259,Aprovado,2020-07-15,,54,Indicação Secretaria - Backup F10 Cebrac,102925,,102720.0,102720.0
7345,7260,SPC,2020-07-15,,54,Indicação Secretaria - Backup F10 Cebrac,102926,,102720.0,102720.0
7346,7261,SPC,2020-07-15,,54,Indicação Secretaria - Backup F10 Cebrac,102927,102929.0,102720.0,102720.0
7347,7262,SPC,2020-07-15,,54,Indicação Secretaria - Backup F10 Cebrac,102931,102933.0,102720.0,102720.0
7348,7263,Cancelado,2020-07-15,2021-11-10,52,Unipro - Tele Pesquisa Wecsley Julho 2020,102928,,102811.0,102878.0
7349,7264,Não Aprovado,2020-07-15,,54,Indicação Secretaria - Backup F10 Cebrac,102934,102936.0,102720.0,102720.0
7350,7265,Cancelado,2020-07-15,2021-09-17,54,Indicação Secretaria - Backup F10 Cebrac,102937,,102720.0,102720.0
7351,7266,SPC,2020-07-15,,54,Indicação Secretaria - Backup F10 Cebrac,102938,,102720.0,102720.0
7352,7267,Cancelado,2020-07-15,2020-09-14,53,Unipro - Amigos Balcão Julho 2020,102939,102940.0,102720.0,102720.0
7353,7268,Concluído,2020-07-15,,53,Indicação Secretaria - Backup F10 Cebrac,102941,102942.0,102720.0,102720.0
7354,7269,SPC,2020-07-15,,53,Indicação Secretaria - Backup F10 Cebrac,102943,102944.0,102720.0,102720.0
7355,7270,Cancelado,2020-07-15,2021-10-11,53,Indicação Secretaria - Backup F10 Cebrac,102945,102946.0,102720.0,102720.0
7356,7271,Cancelado,2020-07-15,2022-02-19,53,Indicação Secretaria - Backup F10 Cebrac,102947,102948.0,102720.0,102720.0
7357,7272,Concluído,2020-07-15,,54,Indicação Secretaria - Backup F10 Cebrac,102949,102950.0,102720.0,102720.0
7358,7273,Não Aprovado,2020-07-15,,54,Teste - Backup F10 Cebrac,102952,102954.0,102720.0,102720.0
7359,7274,Cancelado,2020-07-15,2020-09-28,54,Unipro - Amigos Balcão Julho 2020,102951,102956.0,102718.0,102718.0
7360,7275,Concluído,2020-07-15,,52,Teste - Backup F10 Cebrac,102953,,102718.0,102718.0
7361,7276,Cancelado,2020-07-15,2020-09-14,52,Teste - Backup F10 Cebrac,102955,102956.0,102718.0,102718.0
7362,7277,Aprovado,2020-07-15,,54,Indicação Secretaria - Backup F10 Cebrac,102957,102958.0,102720.0,102720.0
7363,7278,SPC,2020-07-15,,54,Teste - Backup F10 Cebrac,102959,102961.0,102720.0,102720.0
7364,7279,Não Aprovado,2020-07-22,,54,Indicação Secretaria - Backup F10 Cebrac,102967,,102668.0,102668.0
7365,7280,Aprovado,2020-07-22,,54,Unipro - Amigos Balcão Julho 2020,102973,,102668.0,102668.0
7366,7281,Concluído,2020-07-15,,54,Indicação Secretaria - Backup F10 Cebrac,102960,,102720.0,102720.0
7367,7282,Não Aprovado,2020-07-15,,54,Indicação Secretaria - Backup F10 Cebrac,102962,102979.0,102720.0,102720.0
7368,7283,Aprovado,2020-07-22,,54,Indicação Secretaria - Backup F10 Cebrac,102977,,102668.0,102668.0
7369,7284,Não Aprovado,2020-07-15,,54,Indicação Secretaria - Backup F10 Cebrac,102963,102981.0,102720.0,102720.0
7370,7285,Aprovado,2020-07-15,,54,Indicação Secretaria - Backup F10 Cebrac,102965,102984.0,102720.0,102720.0
7371,7286,Aprovado,2020-07-22,,54,Indicação Secretaria - Backup F10 Cebrac,102983,,102668.0,102668.0
7372,7287,Não Aprovado,2020-07-15,,54,Indicação Secretaria - Backup F10 Cebrac,102966,102986.0,102720.0,102720.0
7373,7288,Concluído,2020-07-15,,54,Indicação Secretaria - Backup F10 Cebrac,102968,102988.0,102720.0,102720.0
7374,7289,Concluído,2020-07-15,,54,Indicação Secretaria - Backup F10 Cebrac,102970,102853.0,102720.0,102720.0
7375,7290,Aprovado,2020-07-15,,54,Indicação Secretaria - Backup F10 Cebrac,102971,102990.0,102720.0,102720.0
7376,7291,Não Aprovado,2020-07-15,,54,Indicação Secretaria - Backup F10 Cebrac,102972,102992.0,102720.0,102720.0
7377,7292,Aprovado,2020-07-22,,54,Indicação Secretaria - Backup F10 Cebrac,102991,,102668.0,102668.0
7378,7293,Concluído,2020-07-15,,54,Indicação Secretaria - Backup F10 Cebrac,102974,102995.0,102720.0,102720.0
7379,7294,Aprovado,2020-07-15,,54,Indicação Secretaria - Backup F10 Cebrac,102811,102997.0,102668.0,102668.0
7380,7295,Não Aprovado,2020-07-15,,53,Indicação Secretaria - Backup F10 Cebrac,102994,102998.0,102720.0,102720.0
7381,7296,Cancelado,2020-07-15,2021-05-25,54,Indicação Secretaria - Backup F10 Cebrac,103000,,102668.0,102668.0
7382,7297,SPC,2020-07-15,,54,Indicação Secretaria - Backup F10 Cebrac,103001,103002.0,102720.0,102720.0
7383,7298,Não Aprovado,2020-07-15,,53,Indicação Secretaria - Backup F10 Cebrac,103003,103004.0,102720.0,102720.0
7384,7299,Concluído,2020-07-22,,52,Unipro - Amigos Balcão Julho 2020,103006,,102811.0,102717.0
7385,7300,SPC,2020-07-16,,54,Unipro - Amigos Balcão Julho 2020,103007,,102661.0,102878.0
7386,7301,Anulado,2020-07-16,,52,Unipro - Tele Pesquisa Wecsley Julho 2020,103016,,102668.0,102720.0
7387,7302,SPC,2020-07-16,,52,Unipro - Amigos Balcão Julho 2020,103014,,102661.0,102878.0
7388,7303,Pré Matrícula,2020-07-16,,52,Unipro - Amigos Balcão Julho 2020,103018,103014.0,102661.0,102878.0
7389,7304,Pré Matrícula,2020-07-16,,52,Unipro - Amigos Balcão Julho 2020,103017,,102817.0,102717.0
7390,7305,Anulado,2020-07-16,,52,Unipro - Amigos Balcão Julho 2020,103017,,102817.0,102717.0
7391,7306,Pré Matrícula,2020-07-16,,54,Unipro - Amigos Balcão Julho 2020,103023,103024.0,102661.0,102717.0
7392,7307,SPC,2020-07-17,,52,Unipro - Amigos Balcão Julho 2020,103025,,102661.0,102717.0
7394,7309,Cancelado,2020-08-05,2020-08-31,54,Unipro - Amigos Balcão Julho 2020,103034,,102818.0,102878.0
7395,7310,Cancelado,2020-07-17,2021-01-12,52,Unipro - Tele Pesquisa Wecsley Julho 2020,103035,,102818.0,102717.0
7396,7311,Cancelado,2020-07-17,2021-01-04,54,Unipro - Amigos Balcão Julho 2020,103032,103036.0,102661.0,102717.0
7397,7312,Cancelado,2020-07-17,2020-10-09,52,Unipro - Amigos Balcão Julho 2020,103031,,102718.0,102668.0
7398,7313,Não Aprovado,2020-07-17,,54,Unipro - Amigos Balcão Julho 2020,103033,,102661.0,102717.0
7399,7314,Cancelado,2020-07-17,2021-03-26,54,Unipro - Amigos Balcão Julho 2020,103029,103037.0,102809.0,102878.0
7400,7315,SPC,2020-07-20,,52,Unipro - Tele Pesquisa Wecsley Julho 2020,103038,,102702.0,102668.0
7401,7316,SPC,2020-07-18,,52,Unipro - Tele Pesquisa Wecsley Julho 2020,103043,,102818.0,102878.0
7402,7317,Cancelado,2020-07-18,2022-02-15,54,Unipro - Tele Pesquisa Wecsley Julho 2020,103045,103046.0,102815.0,102716.0
7403,7318,Cancelado,2020-07-18,2020-11-18,52,Unipro - Tele Pesquisa Wecsley Julho 2020,103047,,102818.0,102717.0
7404,7319,Concluído,2020-07-20,,52,Unipro - Amigos Balcão Julho 2020,103051,103052.0,102661.0,102716.0
7405,7320,SPC,2020-07-24,,52,Unipro - Tele Pesquisa Wecsley Julho 2020,103053,103054.0,102817.0,102878.0
7406,7321,Pré Matrícula,2020-07-20,,52,Unipro - Tele Pesquisa Wecsley Julho 2020,103055,,102815.0,102668.0
7407,7322,Cancelado,2020-07-20,2021-12-11,53,Unipro - Amigos Balcão Julho 2020,103061,,102718.0,102717.0
7408,7323,Cancelado,2020-07-20,2020-11-28,52,Unipro - Amigos Balcão Julho 2020,103062,103073.0,102808.0,102878.0
7409,7324,Concluído,2020-07-20,,52,Unipro - Tele Pesquisa Wecsley Julho 2020,103071,103073.0,102808.0,102878.0
7410,7325,Cancelado,2020-07-20,2022-12-06,53,Indicação Secretaria - Backup F10 Cebrac,103074,,102720.0,102720.0
7411,7326,Cancelado,2020-07-20,2020-08-21,53,Indicação Secretaria - Backup F10 Cebrac,103075,,102720.0,102720.0
7412,7327,Cancelado,2020-07-20,2020-10-19,53,Indicação Secretaria - Backup F10 Cebrac,103076,103077.0,102720.0,102720.0
7413,7328,Cancelado,2020-07-20,2020-09-15,53,Indicação Secretaria - Backup F10 Cebrac,103078,,102720.0,102720.0
7414,7329,Cancelado,2020-07-20,2020-10-19,53,Indicação Secretaria - Backup F10 Cebrac,103079,103080.0,102720.0,102720.0
7415,7330,Cancelado,2020-07-20,2022-07-12,53,Indicação Secretaria - Backup F10 Cebrac,103081,103083.0,102720.0,102720.0
7416,7331,Aprovado,2020-07-20,,53,Indicação Secretaria - Backup F10 Cebrac,103085,103086.0,102720.0,102720.0
7417,7332,Concluído,2020-07-20,,53,Indicação Secretaria - Backup F10 Cebrac,103087,103088.0,102720.0,102720.0
7418,7333,Aprovado,2020-07-20,,53,Indicação Secretaria - Backup F10 Cebrac,103089,103090.0,102720.0,102720.0
7419,7334,Aprovado,2020-07-20,,53,Indicação Secretaria - Backup F10 Cebrac,103091,103092.0,102720.0,102720.0
7420,7335,Não Aprovado,2020-07-20,,53,Indicação Secretaria - Backup F10 Cebrac,103093,103094.0,102720.0,102720.0
7421,7336,Aprovado,2020-07-20,,53,Indicação Secretaria - Backup F10 Cebrac,103095,,102720.0,102720.0
7422,7337,Não Aprovado,2020-07-20,,53,Indicação Secretaria - Backup F10 Cebrac,103096,103097.0,102720.0,102720.0
7423,7338,SPC,2020-07-20,,53,Indicação Secretaria - Backup F10 Cebrac,103098,103099.0,102720.0,102720.0
7424,7339,SPC,2020-07-20,,53,Indicação Secretaria - Backup F10 Cebrac,103100,103101.0,102720.0,102720.0
7425,7340,SPC,2020-07-20,,53,Indicação Secretaria - Backup F10 Cebrac,103102,,102720.0,102720.0
7426,7341,Concluído,2020-07-21,,54,Unipro - Amigos Balcão Julho 2020,103108,,102661.0,102717.0
7427,7342,Pré Matrícula,2020-07-21,,53,Unipro - Amigos Balcão Julho 2020,103106,,102661.0,102666.0
7428,7343,SPC,2020-07-21,,54,Unipro - Tele Pesquisa Debora Julho 2020,103119,,102808.0,102878.0
7429,7344,Pré Matrícula,2020-07-22,,53,Unipro - Amigos Balcão Julho 2020,103170,,102666.0,102666.0
7430,7345,SPC,2020-08-03,,54,Unipro - Tele Pesquisa Debora Julho 2020,103125,,102816.0,102717.0
7431,7346,Pré Matrícula,2020-07-23,,54,Unipro - Tele Pesquisa Wecsley Julho 2020,103131,103230.0,102815.0,102666.0
7432,7347,Cancelado,2020-07-23,2020-08-24,54,Unipro - Tele Pesquisa Debora Julho 2020,103211,103238.0,102809.0,102717.0
7433,7348,Cancelado,2020-07-24,2020-08-31,54,Unipro - Amigos Balcão Julho 2020,103245,,102718.0,102718.0
7434,7349,SPC,2020-07-24,,52,Unipro - Tele Pesquisa Wecsley Julho 2020,103142,,102815.0,102717.0
7435,7350,SPC,2020-07-23,,54,Unipro - Amigos Balcão Julho 2020,103267,,102717.0,102717.0
7436,7351,Concluído,2020-07-23,,54,Unipro - Tele Pesquisa Wecsley Julho 2020,103207,,102818.0,102878.0
7437,7352,SPC,2020-07-23,,54,Unipro - Amigos Balcão Julho 2020,103279,,102718.0,104252.0
7438,7353,SPC,2020-07-23,,54,Unipro - Amigos Balcão Julho 2020,103197,,102810.0,104252.0
7439,7354,Concluído,2020-07-23,,54,Unipro - Amigos Balcão Julho 2020,103289,,102661.0,102668.0
7440,7355,Cancelado,2020-07-24,2023-05-12,54,Unipro - Tele Pesquisa Wecsley Julho 2020,103155,,102818.0,102878.0
7441,7356,SPC,2020-07-24,,54,Unipro - Indicação Piq Secretaria Julho 2020,103305,,102718.0,102718.0
7442,7357,Pré Matrícula,2020-07-24,,52,Unipro - Amigos Balcão Julho 2020,103329,,102718.0,102717.0
7443,7358,Cancelado,2020-08-25,2020-09-29,52,Unipro - Amigos Balcão Julho 2020,103330,103331.0,102718.0,102878.0
7444,7359,Cancelado,2020-07-24,2021-02-10,52,Teste - Backup F10 Cebrac,103218,,102808.0,102878.0
7445,7360,Cancelado,2020-07-24,2020-08-31,54,Unipro - Tele Pesquisa Wecsley Julho 2020,103138,,102808.0,102878.0
7446,7361,Cancelado,2020-07-24,2020-08-14,52,Unipro - Amigos Balcão Julho 2020,103156,103338.0,102718.0,102878.0
7447,7362,Não Aprovado,2020-07-24,,54,Unipro - Tele Pesquisa Debora Julho 2020,103265,103343.0,102810.0,102717.0
